Demanda;Criado em;DRI Audiovisual;Data Entrega;Etapa;Área Demandadora
[FORMAÇÃO EM IA] Aula 2 - T01;June 9, 2025 5:50 PM;Thainá Vilhena;;Aprovado;Educação
[FORMAÇÃO EM IA] Aula 3 - T01;June 9, 2025 5:57 PM;Raffaella Lima;;Aprovado;Educação
[Programas Profissionais] [FORMAÇÃO EM IA] AULA 4 T01;June 9, 2025 5:59 PM;Raffaella Lima;;Aprovado;
[Programas Profissionais] [FORMAÇÃO EM IA] AULA 5 T01;June 9, 2025 6:07 PM;Gui Juhas;15/08/2025;Aprovado;
[Programas Profissionais] [FORMAÇÃO EM IA] AULA 6 T01;June 9, 2025 6:10 PM;Thainá Vilhena;;Aprovado;
[Programas Profissionais] [FORMAÇÃO EM IA] AULA 7 T01;June 9, 2025 6:13 PM;Lucas Liberato;;Aprovado;
[Programas Profissionais] [FORMAÇÃO EM IA] AULA 8 T01;June 9, 2025 6:14 PM;Thainá Vilhena;;Aprovado;
[ADs] [ANIV G4] Bruno Nardon;June 10, 2025 4:26 PM;Gui Juhas;17/06/2025;Aprovado;Matricial
[ADs] [FG4] Novos Ads - After Movie;June 10, 2025 5:52 PM;Joyce Moraes;;Cancelado;Educação
[CASE] [Traction] Felipe Cogini;June 11, 2025 11:01 AM;;;;
[YOUTUBE] [Nardon] Uma Reflexão sobre Ironman e negócios;June 11, 2025 5:32 PM;Pedro Augusto;;Aprovado;
[YOUTUBE] [Nardon] Casamento do Tallis Gomes | Versão Padrinho;June 11, 2025 6:06 PM;Pedro Augusto;;Aprovado;
[YOUTUBE] [Nardon] Cenário Europeu | Consumo, vendas, atendimento;June 11, 2025 6:08 PM;Erik Gomes;;Cancelado;
[ADs] [IM] Academia de Vendedores - Gravação John;June 12, 2025 5:45 PM;Erik Gomes;06/08/2025;Aprovado;
[DOCUMENTÁRIO] [MATRICIAL] ANIVERSÁRIO G4 2025;June 16, 2025 10:00 AM;Wilson Silva;07/07/2025;Aprovado;Matricial
[GEMP] TRILHA DE CONTEÚDO COM ANTONIO SANTOS;June 16, 2025 11:18 AM;Raffaella Lima;29/07/2025;Aprovado;Educação
[YOUTUBE] [TALLIS] CORTES MÊS DE MAIO;June 16, 2025 11:25 AM;Gui Juhas;;Aprovado;
[GEMP] TRILHA DE CONTEÚDO COM MANOEL GONÇALVES;June 16, 2025 11:32 AM;Raffaella Lima;10/08/2025;Aprovado;Educação
[REELS] [G4 Educação - Shorts] Chamada para vídeo Heineken 1;June 16, 2025 1:47 PM;Raffaella Lima;;Aprovado;Social G4
[REELS] [G4 Educação - Shorts] Chamada para vídeo Heineken 2;June 16, 2025 1:50 PM;Raffaella Lima;;Aprovado;Social G4
[REELS] [G4 Educação - Shorts] Chamada para vídeo Heineken 3;June 16, 2025 1:51 PM;Raffaella Lima;;Aprovado;Social G4
[ADS ALFREDO E TALLIS] [GROWTH] [ANIVERSÁRIO G4];June 16, 2025 2:10 PM;Gustavo Cairo;;Aprovado;Matricial
 A ERA DA POSSE ACABOU. BEM VINDO A ECONOMIA DO USO | PAPO DE GESTÃO ;June 16, 2025 2:47 PM;Gustavo Cairo;;Aprovado;Podcast
[ADs] FNN - ADS - Edição com Motion;June 16, 2025 3:05 PM;Gui Juhas;23/06/2025;Aprovado;Educação
[ADs] [GEMP] Ads - Edição com Motion;June 16, 2025 3:54 PM;;;Cancelado;Educação
[ADs] FG4 - Ads - Edição com Motion;June 16, 2025 4:33 PM;Lucas Liberato;;Cancelado;Educação
 AVIAÇÃO, PRESSÃO E PODER: BASTIDORES DE UMA STARTUP DE JATOS POR ASSINATURA | EXTREMOS ;June 16, 2025 6:43 PM;Gustavo Cairo;;Aprovado;Podcast
[GEMP] TRILHA DE CONTEÚDO COM RODRIGO FERNANDES;June 17, 2025 3:23 PM;Thainá Vilhena;;Aprovado;Educação
 O JOGO INVISÍVEL POR TRÁS DE UM CHEQUE DE VENTURE CAPITAL COM GUSTAVO AHRENDS | PAPO DE GESTÃO ;June 17, 2025 3:52 PM;Gustavo Cairo;;Aprovado;Podcast
Treinamento GE;June 17, 2025 4:02 PM;Gui Juhas;;Aprovado;Educação
[AFTERMOVIE] ALUMNI SPRINTS;June 17, 2025 4:07 PM;Gui Juhas;;Aprovado;
[MATRICIAL] ASSETS TELÃO BH;June 17, 2025 4:29 PM;Pedro Augusto;;Aprovado;Matricial
[ANIVERSÁRIO G4 25 - ADS da diaria 2 - ATORES] [CORPORATIVO]  ATORES EXTERNOS;June 17, 2025 5:31 PM;Joyce Moraes;04/07/2025;Aprovado;Matricial
 GUSTAVO BALBI: O ESTILO QUE DEFINE POSICIONAMENTO | EXTREMOS ;June 18, 2025 11:25 AM;Gustavo Cairo;10/07/2025;Aprovado;Podcast
[GEMP] TRILHA DE CONTEÚDO COM MATT MONTENEGRO;June 18, 2025 1:25 PM;Thainá Vilhena;30/07/2025;Aprovado;Educação
[ANIVERSÁRIO G4 25 - ADS da diaria 1 -[TAN] [CORPORATIVO];June 18, 2025 3:13 PM;Joyce Moraes;;Aprovado;Matricial
GESTÃO COM PROPÓSITO: A FILOSOFIA DA ESSENTIAL NUTRITION | PAPO DE GESTÃO;June 18, 2025 4:25 PM;Gustavo Cairo;;Aprovado;Podcast
[FORMAÇÃO EM IA] Trilha onboarding ;June 18, 2025 5:30 PM;Raffaella Lima;;Aprovado;Educação
[GEMP] TRILHA DE CONTEÚDO COM MARCELA ZAIDEM;June 23, 2025 11:00 AM;Thainá Vilhena;21/08/2025;Aprovado;Educação
[YOUTUBE] [CANAL G4 EDUCAÇÃO] MAGALU;June 23, 2025 11:09 AM;Gustavo Cairo;23/06/2025;Aprovado;Youtube G4
[GEMP] TRILHA DE CONTEÚDO COM MANOEL LINS;June 23, 2025 12:40 PM;Thainá Vilhena;25/07/2025;Aprovado;Educação
[YOUTUBE] [CANAL G4 EDUCAÇÃO] LVMH;June 23, 2025 6:14 PM;Gustavo Cairo;;Cancelado;Youtube G4
 MERCADO IMOBILIÁRIO SEM DOR DE CABEÇA COM VINICIUS MOTTA | EXTREMOS ;June 23, 2025 6:42 PM;Gustavo Cairo;;Aprovado;Podcast
 A HISTÓRIA DO FRANCHISING NO BRASIL COM MARCELO CHERTO | PAPO DE GESTÃO ;June 24, 2025 2:04 PM;Gustavo Cairo;;Aprovado;Podcast
[MATRICIAL] [ANIVERSÁRIO] REELS TRAILER DOC;June 24, 2025 3:17 PM;Joyce Moraes;04/07/2025;Aprovado;Matricial
[Gravação Case] Luiza Russo;June 25, 2025 9:34 AM;;;Cancelado;Matricial
 ALLAN BARROS: O PODER DA CRIATIVIDADE EXPONECIAL NO VAREJO | EXTREMOS ;June 25, 2025 3:53 PM;Gustavo Cairo;;Aprovado;Podcast
[ADs] GEMP - Marcela Zaidem - 3/7;June 26, 2025 10:33 AM;Joyce Moraes;;Cancelado;Educação
[ADs] GEMP - Manoel Lins - 7/7;June 26, 2025 10:36 AM;Lucas Liberato;;Cancelado;Educação
[ADs] GEMP - Matt Montenegro - 07/7;June 26, 2025 10:37 AM;Joyce Moraes;;Aprovado;Educação
[ANIVERSÁRIO G4 25 - ADS CAPTAÇÃO - INTERNO G4] [CORPORATIVO]  ALFREDO SOARES;June 26, 2025 11:37 AM;Gustavo Cairo;;Aprovado;Matricial
[REELS] [G4 EDUCAÇÃO] Romeu Zema no G4 PB BH;June 26, 2025 5:00 PM;Gustavo Cairo;26/06/2025;Aprovado;Social G4
[SCL] Aula Gestão Básica ;June 26, 2025 6:58 PM;;;;Comunidades
[ADS DOCUMENTÁRIO 24 - REAPROVEITAMENTO PARA ANIV 25] [CORPORATIVO] [ANIVERSÁRIO G4 25] TAN;June 27, 2025 4:14 PM;Joyce Moraes;02/07/2025;Aprovado;Matricial
[YOUTUBE] [Nardon - Acelerai;June 29, 2025 7:13 PM;Pedro Augusto;;Aprovado;
[REELS] [G4 EDUCAÇÃO] TRAILER 1 DOC - ALFREDO SOARES;June 30, 2025 2:06 PM;Joyce Moraes;04/07/2025;Aprovado;Social G4
FINTECH DE EDUCAÇÃO: O MODELO INOVADOR DO EDUCBANK COM FABIOLA OVERRATH | PAPO DE GESTÃO ;June 30, 2025 2:21 PM;Erik Gomes;;Aprovado;Podcast
 COMO ESCALAR UMA EMPRESA DE TECH SEM SER HYPE COM JOÃO MORESSI | EXTREMOS ;June 30, 2025 6:24 PM;Gui Juhas;;Aprovado;Podcast
[REELS] [G4 EDUCAÇÃO] TRAILER 2 DOC - BRUNO NARDON;June 30, 2025 8:32 PM;Joyce Moraes;04/07/2025;Aprovado;Social G4
[REELS] [G4 EDUCAÇÃO] TRAILER 3 DOC - TALLIS GOMES;June 30, 2025 8:34 PM;Joyce Moraes;04/07/2025;Aprovado;Social G4
[REELS] [G4 EDUCAÇÃO] TRAILER 4 DOC - CONVIDADOS;June 30, 2025 8:36 PM;Joyce Moraes;04/07/2025;Aprovado;Social G4
[SCL] [MENTORIA ONLINE] 06;July 1, 2025 10:27 AM;Joyce Moraes;04/07/2025;Aprovado;Comunidades
[SOCIAL] [SPRINTS] Bate Papo Misa e Maria Candida ;July 1, 2025 1:49 PM;Pedro Augusto;18/07/2025;Aprovado;
[YOUTUBE] [G4 EDUCAÇÃO] FORMULA 1;July 1, 2025 2:02 PM;Gustavo Cairo;;Cancelado;Youtube G4
[YOUTUBE] [G4 EDUCAÇÃO] HAVAIANAS;July 1, 2025 2:04 PM;Thainá Vilhena;15/08/2025;Aprovado;Youtube G4
COMO VIVER DE MÚSICA, ARTE E MARCA PRÓPRIA COM DJ NINJA | EXTREMOS ;July 1, 2025 2:24 PM;Thainá Vilhena;09/07/2025;Aprovado;Podcast
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] HENRIQUE DUBUGRAS;July 1, 2025 3:04 PM;Raffaella Lima;01/07/2025;Aprovado;Matricial
 ALTA PERFORMANCE NÃO TEM PRAZO DE VALIDADE COM NICHOLAS SANTOS | A JORNADA ;July 1, 2025 3:07 PM;Thainá Vilhena;09/07/2025;Aprovado;Podcast
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] Elaine Sil;July 1, 2025 4:45 PM;Raffaella Lima;;Aprovado;Matricial
[REELS] [G4 EDUCAÇÃO] Corte Doc Convidado - Cris Junqueira;July 2, 2025 9:01 AM;Thainá Vilhena;02/07/2025;Aprovado;Social G4
ELES TRANSFORMARAM AÇAÍ EM MÁQUINA DE CRESCIMENTO | EXTREMOS ;July 2, 2025 9:45 AM;Gustavo Cairo;;Aprovado;Podcast
Motions Doc;July 2, 2025 2:13 PM;Pedro Augusto;07/07/2025;Aprovado;Matricial
UpSell - [Pass] TG;July 2, 2025 2:38 PM;Joyce Moraes;04/07/2025;Aprovado;Matricial
COMO GERENCIAR UM ECOSSISTEMA DE MARCAS DE BELEZA COM PEDRO CASTRO | PAPO DE GESTÃO;July 2, 2025 2:50 PM;Erik Gomes;;Aprovado;Podcast
[CURSO] Liderança de Alta Performance - Módulo 8;July 2, 2025 3:30 PM;;14/07/2025;Aprovado;Educação
[CURSO] Gente e Cultura 4.0 - Módulos 6, 7 e 8;July 2, 2025 3:34 PM;;14/07/2025;Aprovado;Educação
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] ESTEVÃO FARKAS;July 2, 2025 5:28 PM;Erik Gomes;07/07/2025;Aprovado;Matricial
[SCALE] [WebMeeting] - Gestão (Avançado) ;July 3, 2025 9:12 AM;Gustavo Cairo;22/07/2025;Aprovado;Comunidades
[SCALE] [WebMeeting] - Workshop IA;July 3, 2025 9:49 AM;Wilson Silva;22/07/2025;Aprovado;Comunidades
[SCALE] [WebMeeting] - Gestão (Básico);July 3, 2025 9:56 AM;Wilson Silva;22/07/2025;Aprovado;Comunidades
[CURSO] CRIPTOATIVOS NA ESTRATÉGIA EMPRESARIAL;July 3, 2025 10:12 AM;Thainá Vilhena;;Blocked;Educação
[ADs] [BU] [Aniversário G4 - 25] Tallis Gomes;July 3, 2025 11:04 AM;Erik Gomes;05/07/2025;Aprovado;Matricial
[SCALE] [WebMeeting] 02;July 3, 2025 1:49 PM;Gui Juhas;;Aprovado;Comunidades
[CURSO] CONSTRUINDO METAS REALISTAS E DESAFIADORAS;July 3, 2025 2:42 PM;Gui Juhas;;Aprovado;Educação
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] TUCA TAPAJÓS;July 3, 2025 4:00 PM;Erik Gomes;07/07/2025;Aprovado;Matricial
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] CRIS JUNQUEIRA;July 3, 2025 5:42 PM;Thainá Vilhena;07/07/2025;Aprovado;Matricial
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] PAULO;July 3, 2025 5:49 PM;Gustavo Cairo;07/07/2025;Aprovado;Matricial
[YOUTUBE] [TG] JANTAR PADRINHOS + PB RJ;July 3, 2025 6:46 PM;Lucas Liberato;;Aprovado;
[YOUTUBE] [TG] PRE-WEDDING    ;July 3, 2025 6:47 PM;Lucas Liberato;;Aprovado;
[YOUTUBE] [TG] CASAMENTO;July 4, 2025 11:31 AM;Pedro Augusto;22/07/2025;Aprovado;
[YOUTUBE] [TG] LUA DE MEL PT.01;July 4, 2025 11:33 AM;Joyce Moraes;;Aprovado;
[YOUTUBE] [TG] LUA DE MEL PT.02;July 4, 2025 11:33 AM;Joyce Moraes;;Aprovado;
[YOUTUBE] [TG] FECHAMENTO JUNHO E PB BH;July 4, 2025 11:33 AM;Pedro Augusto;13/08/2025;Aprovado;
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] ALFREDO Cortes Panico Aniv25;July 4, 2025 12:18 PM;Lucas Liberato;;Aprovado;Matricial
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] TG - 🚨PRIORIDADE MÁXIMA;July 4, 2025 2:48 PM;Gui Juhas;07/07/2025;Aprovado;Matricial
[CURSO] PROCESSOS E ROTINAS OPERACIONAIS;July 4, 2025 5:09 PM;Thainá Vilhena;;Blocked;Educação
 [CURSO] CRIANDO UM PODCAST NA SUA EMPRESA;July 4, 2025 5:15 PM;Thainá Vilhena;;Aprovado;Educação
Edição da gravação Traction 74;July 4, 2025 6:09 PM;Erik Gomes;24/07/2025;Aprovado;
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4] Tallis Gomes - Estúdio G4;July 4, 2025 7:10 PM;Gustavo Cairo;10/07/2025;Aprovado;Matricial
[REELS] [G4 EDUCAÇÃO] Itau x Nubank;July 5, 2025 5:28 PM;Wilson Silva;07/07/2025;Aprovado;Social G4
[REELS] [G4 EDUCAÇÃO] Shein e Kodak;July 7, 2025 2:21 PM;Erik Gomes;;Aprovado;Social G4
[ANIV] - Recuperação de carrinho nominal;July 7, 2025 4:03 PM;Wilson Silva;11/07/2025;Aprovado;Matricial
[REELS] [G4 EDUCAÇÃO] G4 História;July 7, 2025 4:23 PM;Gustavo Cairo;10/07/2025;Aprovado;Social G4
[PTZ] [INTEGRA] AC. LIDERANÇA T01;July 8, 2025 5:43 PM;Gui Juhas;;Aprovado;
[AFTERMOVIE] Academia de Liderança T01;July 8, 2025 5:46 PM;Erik Gomes;14/08/2025;Aprovado;
[REELS] [G4 EDUCAÇÃO] Aftermovie Aula Nardon;July 9, 2025 5:37 PM;Wilson Silva;10/07/2025;Aprovado;Social G4
[Traction] Treinamento comercial;July 9, 2025 11:46 PM;Joyce Moraes;;Aprovado;Educação
[YOUTUBE] [G4 EDUCAÇÃO] motion informativo - ações da LIVE da AULA 2;July 10, 2025 10:24 AM;Pedro Augusto;;Aprovado;Youtube G4
[REELS] [G4 EDUCAÇÃO] Cortes Aula Nardon;July 10, 2025 3:37 PM;Joyce Moraes;;Aprovado;Social G4
[REELS] [G4 EDUCAÇÃO] Cortes Alfredo Soares;July 10, 2025 3:42 PM;Gustavo Cairo;14/07/2025;Aprovado;Social G4
[REELS] [G4 EDUCAÇÃO] Mashup Alfredo;July 11, 2025 11:24 AM;Pedro Augusto;;Aprovado;Social G4
[ADs] Aniv25 - Motion Banner Youtube;July 11, 2025 3:05 PM;Wilson Silva;14/07/2025;Aprovado;Matricial
[SKILLS] Recorte no vídeo Onboarding PASS;July 11, 2025 4:20 PM;Lucas Liberato;;Aprovado;Educação
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4 - G4 PASS] TAN;July 14, 2025 1:26 PM;Wilson Silva;14/07/2025;Aprovado;Educação
[REELS] [Nardon] Cortes da Aula + CTA;July 14, 2025 2:37 PM;Joyce Moraes;;Aprovado;Social G4
[REELS] [Alfredo] Cortes da Aula + CTA;July 14, 2025 2:41 PM;Gustavo Cairo;;Aprovado;Social G4
[ADs] [PG] [GE] Colocar o selo/tag/faixa/moldura do ANIVERSÁRIO G4;July 14, 2025 3:17 PM;Wilson Silva;;Aprovado;
[ADs] [PG] [TRACTION] Colocar o selo/tag/faixa/moldura do ANIVERSÁRIO G4;July 14, 2025 3:42 PM;Lucas Liberato;;Aprovado;
[REELS] [G4 EDUCAÇÃO] Corte Aula TG;July 15, 2025 9:27 AM;Gustavo Cairo;;Aprovado;Social G4
[ADs] [ANIVERSÁRIO] PASS E UPSELL;July 15, 2025 10:40 AM;Wilson Silva;22/07/2025;Aprovado;Matricial
[ADs] [CORPORTATIVO] [G4 PASS - ANIV G4 25] Tallis Gomes;July 15, 2025 3:13 PM;Joyce Moraes;16/07/2025;Aprovado;Matricial
[ADs] [ANIV25] EDITAR ADS PRONTOS;July 15, 2025 3:26 PM;Wilson Silva;16/07/2025;Aprovado;Matricial
[ADs de UPSELL] [CORPORATIVO] [Aniversário G4 - G4 PASS] Alfredo;July 15, 2025 5:24 PM;Gustavo Cairo;;Aprovado;Matricial
[SKILLS] [CASE] Monica;July 15, 2025 6:47 PM;Erik Gomes;22/09/2025;Aprovado;Educação
[Renan Lopes] [SKILLS] CASE;July 15, 2025 6:48 PM;Erik Gomes;24/07/2025;Aprovado;
[Luis Guilherme] [SKILLS] Case SKILLS;July 15, 2025 6:50 PM;Wilson Silva;24/07/2025;Aprovado;Educação
[Maria Fernanda] [SKILLS] Case SKILLS;July 15, 2025 6:51 PM;Wilson Silva;25/07/2025;Aprovado;Educação
[BETINA] [SKILLS] Case SKILLS;July 15, 2025 6:52 PM;Wilson Silva;25/07/2025;Aprovado;Educação
[ADs] [Aniv25] | GE;July 16, 2025 10:34 AM;Wilson Silva;17/07/2025;Aprovado;Matricial
[ADs] [ANIV25] EDITAR ADS PRONTOS NOVAMENTE;July 16, 2025 11:07 AM;Wilson Silva;17/07/2025;Aprovado;Matricial
[ADs] [PG] [GE] TG;July 16, 2025 11:22 AM;Lucas Liberato;17/07/2025;Aprovado;
[ADs]  | Traction - Tallis Gomes;July 16, 2025 11:31 AM;Gui Juhas;;Aprovado;Matricial
[ADs] [Aniv25] Pass;July 16, 2025 1:12 PM;Wilson Silva;17/07/2025;Aprovado;Matricial
[DEPOIMENTO] G4 Traction - Turma 65 - Vivian Ferreira;July 16, 2025 1:42 PM;Erik Gomes;23/07/2025;Aprovado;
[ADs] [BAU] [Programas presenciais] TG;July 16, 2025 1:44 PM;Joyce Moraes;;Aprovado;
[DEPOIMENTO] G4 Traction - Turma 65 - Allyson Mendes;July 16, 2025 1:50 PM;Erik Gomes;23/07/2025;Aprovado;
[ADs] [Programas presenciais] Bruno Nardon;July 16, 2025 3:46 PM;Wilson Silva;22/07/2025;Aprovado;
[YOUTUBE] [NARDON] PELO BRASIL BH;July 16, 2025 4:47 PM;Pedro Augusto;;Aprovado;
[ADs] [PG] [FNN] ALFREDO;July 17, 2025 9:59 AM;Joyce Moraes;;Aprovado;Educação
[ADs] [ANIV25] EDITAR ADS MAIS UM TESTE;July 17, 2025 11:18 AM;Wilson Silva;18/07/2025;Aprovado;Matricial
[DEPOIMENTO] G4 Traction - Turma 65 - Franciele Dantas;July 17, 2025 1:34 PM;Raffaella Lima;23/07/2025;Aprovado;
[DEPOIMENTO] G4 Traction - Turma 65 - Tawhane Silva;July 17, 2025 1:37 PM;Raffaella Lima;22/07/2025;Aprovado;
[DEPOIMENTO] G4 Traction - Turma 65 - Leonardo Pedrini;July 17, 2025 1:38 PM;Raffaella Lima;22/07/2025;Aprovado;
[ADs] [ANIV25] [G4] Edição de Ads Novos - TG;July 17, 2025 3:53 PM;Wilson Silva;18/07/2025;Aprovado;Matricial
[ADs] [ANIV25] [G4] Gravação de ADs - MISA;July 17, 2025 4:20 PM;Wilson Silva;22/07/2025;Aprovado;Matricial
Curso Introdução à IA para Negócios -  ajustes em vídeos;July 17, 2025 4:30 PM;Thainá Vilhena;;Aprovado;Educação
[ADs] [GE] [TRACTION] VIDEO ESPECIFICO COM DEPOIMENTOS DOS 2 PP.;July 18, 2025 9:11 AM;Erik Gomes;16/07/2025;Cancelado;Matricial
[ADs] [ANIV25] [BAU] Edição dos vídeos - Alfredo;July 18, 2025 12:30 PM;Wilson Silva;18/07/2025;Aprovado;Matricial
[GEMP] TRILHA DE CONTEÚDO COM MANOEL LINS -  Vídeo para WhatsApp;July 18, 2025 1:06 PM;Thainá Vilhena;24/07/2025;Aprovado;Educação
[ADs] [PG] [GEMP] Manoel Lins - 21.7;July 18, 2025 2:04 PM;Lucas Liberato;;Aprovado;
Tour G4 Pass - Edição;July 18, 2025 3:16 PM;Thainá Vilhena;;Aprovado;Educação
[ADs] [PG] [FNN] Edição de Vídeo Wide - Alfredo;July 18, 2025 3:23 PM;Pedro Augusto;;Aprovado;Educação
[ADs] [ANIV25] Variação Ads Best Performance;July 18, 2025 3:35 PM;Wilson Silva;22/07/2025;Aprovado;Matricial
[ADs] [PG] [ANIV25] Ajustar Vid TG;July 19, 2025 9:54 AM;Thainá Vilhena;;Aprovado;
[REELS] [G4 Educação] G4 Pass - Provas Sociais;July 20, 2025 5:49 PM;Erik Gomes;;Aprovado;Social G4
[YOUTUBE] [Nardon - Tour de France;July 21, 2025 10:54 AM;Pedro Augusto;;Aprovado;
[GEMP] TRILHA DE CONTEÚDO COM RODRIGO MAROJA - ABERTURA + WHATSAPP;July 21, 2025 11:34 AM;Thainá Vilhena;20/08/2025;Aprovado;Educação
 IA NA PRÁTICA: COMO USAR INTELIGÊNCIA ARTIFICIAL PARA LUCRAR DE VERDADE COM RAFAEL MILAGRE | PAPO DE GESTÃO ;July 21, 2025 3:37 PM;Gustavo Cairo;;Aprovado;Podcast
[Vídeo] [G4 Capital] Televisão Pôker com parceiros;July 22, 2025 1:49 PM;Pedro Augusto;23/07/2025;Aprovado;G4 Tools
 CONSTRUIR MARCAS SAUDÁVEIS E LUCRATIVAS: O MODELO DA POSITIVO COMPANY COM RODRIGO CARVALHO | PAPO DE GESTÃO ;July 22, 2025 2:59 PM;Gustavo Cairo;;Aprovado;Podcast
[CURSO] Fundamentos em LGPD;July 23, 2025 11:02 AM;Thainá Vilhena;;Aprovado;Educação
[INSTITUCIONAL] G4 HUB;July 23, 2025 11:22 AM;Lucas Liberato;11/08/2025;Aprovado;Comunidades
[VINHETAS MENTORES GDP];July 23, 2025 11:56 AM;;;Cancelado;
[AFTERMOVIE] WELCOME COMPANY - SCALE;July 23, 2025 12:00 PM;Amanda Rui;13/08/2025;Aprovado;Comunidades
 DO VAREJO RAÍZ À FRANQUIA GIGANTE: A HISTÓRIA DA CELLAIRIS COM JONATHAN BENITEZ | EXTREMOS ;July 23, 2025 1:30 PM;Lucas Liberato;06/08/2025;Aprovado;Podcast
[CURSO] D2C;July 23, 2025 2:31 PM;Thainá Vilhena;;Aprovado;Educação
Onboarding Skills;July 23, 2025 4:01 PM;Thainá Vilhena;;Aprovado;Educação
[ADs] [GEMP] MARCELA ZAIDEM;July 23, 2025 4:43 PM;Erik Gomes;12/09/2025;Aprovado;Educação
[SCL] [Mentoria Online] 07;July 23, 2025 4:46 PM;Raffaella Lima;;Cancelado;Comunidades
Edição da gravação Traction 75;July 24, 2025 1:46 PM;Gui Juhas;;Aprovado;
"[ADs] [PAID] [ANIV25] Corte do Documentário ""Heróis do Brasil”";July 24, 2025 2:10 PM;Wilson Silva;25/07/2025;Aprovado;Matricial
 CUSTOMER EXPERIENCE COMO ALAVANCA DE CRESCIMENTO COM TOMÁS DUARTE | PAPO DE GESTÃO ;July 24, 2025 5:52 PM;Wilson Silva;;Aprovado;Podcast
 DE CAMELÔ À MIAMI: A HISTÓRIA DA LABELLAMAFIA COM GIULLIANO PUGA | EXTREMOS ;July 25, 2025 3:49 PM;Raffaella Lima;;Aprovado;Podcast
[AFTERMOVIE] G4 CLUB - FUTEBOL NO ALLIANZ - ADV;July 28, 2025 11:01 AM;Lucas Liberato;;Aprovado;Comunidades
[SHORTS] [TG] Cortes TG vs Demitidos;July 28, 2025 11:39 AM;Pedro Augusto;18/08/2025;Aprovado;Social G4
[G4 GEMP] [TURMA 08] Aula 1: Pilares da Eficiência do Empreendedor;July 28, 2025 3:30 PM;Gui Juhas;06/08/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 2: Posicionamento Estratégico;July 28, 2025 3:35 PM;Raffaella Lima;;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 3: Direcionamento do Negócio;July 28, 2025 3:37 PM;Thainá Vilhena;22/08/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 4: Canais de Aquisição;July 28, 2025 3:41 PM;Raffaella Lima;27/08/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 5: Conversão de Demanda;July 28, 2025 3:45 PM;Raffaella Lima;;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 7: Processos e Rotinas de Gestão;July 28, 2025 3:47 PM;Thainá Vilhena;16/09/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 6: Construção de times e jornada do colaborador;July 28, 2025 3:49 PM;Thainá Vilhena;15/09/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 9: Gerenciamento de alavancas financeiras;July 28, 2025 3:54 PM;Gui Juhas;24/09/2025;Aprovado;Educação
[G4 GEMP] [TURMA 08] Aula 8: Mentoria com Jonathan Souza;July 28, 2025 3:55 PM;Thainá Vilhena;17/09/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 1: Pilares da Eficiência do Empreendedor;July 28, 2025 4:13 PM;Gui Juhas;;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 2: Posicionamento Estratégico;July 28, 2025 4:19 PM;Gui Juhas;;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 3: Direcionamento do Negócio;July 28, 2025 4:20 PM;Gui Juhas;09/10/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 4: Canais de Aquisição;July 28, 2025 4:22 PM;Thainá Vilhena;17/10/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 5: Conversão de Demandas;July 28, 2025 4:24 PM;Gui Juhas;24/10/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 6: Construção de Times e Jornada do Colaborador;July 28, 2025 4:27 PM;Thainá Vilhena;31/10/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 7: Processos e Rotinas de Gestão;July 28, 2025 4:30 PM;Thainá Vilhena;12/11/2025;Aprovado;Educação
[G4 GEMP] [TURMA 09] Aula 8: Gerenciamento de Alavancas Financeiras;July 28, 2025 4:33 PM;Thainá Vilhena;13/11/2025;Aprovado;Educação
[ADs] [CORPORATIVO] [ANIVERSÁRIO G4 (DOWNSELL) G4 IA na Prática] João Vitor;July 29, 2025 8:47 AM;Raffaella Lima;;Aprovado;Educação
[ADs] [G4 IA na Prática] Tallis Gomes;July 29, 2025 9:29 AM;Wilson Silva;31/07/2025;Aprovado;Matricial
[YOUTUBE] [Nardon - Kaite no PREA;July 29, 2025 11:36 AM;Pedro Augusto;;Aprovado;
